	Stool.40	Stool.34	Stool.143	Stool.110	Stool.2	Stool.14	Stool.29	Stool.17	Stool.129	Stool.106	Stool.131	Stool.24	Stool.39	Stool.201	Stool.116	Stool.1	Stool.128	Stool.170	Stool.52	Stool.113	Stool.107	Stool.90	Stool.61	Stool.30	Stool.46	Stool.25	Stool.22	Stool.203	Stool.55	Stool.111	Stool.109	Stool.66	Stool.4	Stool.45	Stool.137	Stool.6	Stool.92	Stool.153	Stool.8	Stool.206	Stool.28	Stool.81	Stool.3	Stool.31	Stool.120	Stool.94	Stool.145	Stool.176	Stool.173	Stool.158	Tongue_dorsum.113	Tongue_dorsum.87	Tongue_dorsum.120	Tongue_dorsum.43	Tongue_dorsum.56	Tongue_dorsum.37	Tongue_dorsum.45	Tongue_dorsum.102	Tongue_dorsum.26	Tongue_dorsum.51	Tongue_dorsum.35	Tongue_dorsum.71	Tongue_dorsum.112	Tongue_dorsum.50	Tongue_dorsum.78	Tongue_dorsum.90	Tongue_dorsum.53	Tongue_dorsum.80	Tongue_dorsum.29	Tongue_dorsum.149	Tongue_dorsum.17	Tongue_dorsum.213	Tongue_dorsum.58	Tongue_dorsum.25	Tongue_dorsum.65	Tongue_dorsum.21	Tongue_dorsum.169	Tongue_dorsum.34	Tongue_dorsum.198	Tongue_dorsum.67	Tongue_dorsum.54	Tongue_dorsum.12	Tongue_dorsum.212	Tongue_dorsum.128	Tongue_dorsum.158	Tongue_dorsum.30	Tongue_dorsum.10	Tongue_dorsum.9	Tongue_dorsum.31	Tongue_dorsum.18	Tongue_dorsum.147	Tongue_dorsum.123	Tongue_dorsum.38	Tongue_dorsum.61	Tongue_dorsum.32	Tongue_dorsum.3	Tongue_dorsum.238	Tongue_dorsum.77	Tongue_dorsum.166	Tongue_dorsum.174	Supragingival_plaque.17	Supragingival_plaque.2	Supragingival_plaque.79	Supragingival_plaque.33	Supragingival_plaque.81	Supragingival_plaque.35	Supragingival_plaque.51	Supragingival_plaque.77	Supragingival_plaque.80	Supragingival_plaque.38	Supragingival_plaque.83	Supragingival_plaque.87	Supragingival_plaque.217	Supragingival_plaque.104	Supragingival_plaque.221	Supragingival_plaque.86	Supragingival_plaque.8	Supragingival_plaque.115	Supragingival_plaque.91	Supragingival_plaque.161	Supragingival_plaque.170	Supragingival_plaque.61	Supragingival_plaque.23	Supragingival_plaque.116	Supragingival_plaque.9	Supragingival_plaque.71	Supragingival_plaque.12	Supragingival_plaque.16	Supragingival_plaque.101	Supragingival_plaque.92	Supragingival_plaque.50	Supragingival_plaque.52	Supragingival_plaque.18	Supragingival_plaque.14	Supragingival_plaque.130	Supragingival_plaque.53	Supragingival_plaque.68	Supragingival_plaque.145	Supragingival_plaque.57	Supragingival_plaque.141	Supragingival_plaque.5	Supragingival_plaque.162	Supragingival_plaque.119	Supragingival_plaque.118	Supragingival_plaque.32	Supragingival_plaque.159	Supragingival_plaque.3	Supragingival_plaque.20	Supragingival_plaque.84	Supragingival_plaque.49
ABC_transporter_[iron.B12.siderophore.hemin]	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC_transporter_of_unknown_substrate_X	11	0	0	7	256	7	265	0	31	0	0	10	49	0	29	274	23	6	27	0	3	0	47	0	1	0	145	0	0	10	5	0	102	0	0	131	0	0	35	0	0	0	503	0	0	0	0	0	5	1	8783	12424	15305	12664	11591	11712	11868	14927	10175	11559	9168	9594	15719	12928	9608	8598	13056	8787	10701	10351	13007	12220	8426	10446	9503	12931	10326	10863	6055	8247	11624	14538	5909	9101	9386	11196	7253	7498	7248	10675	9889	8446	10551	8577	6997	8913	11644	7052	6332	6275	5129	3672	12150	5874	10537	8885	8986	4234	4507	7166	2363	820	3738	878	3661	2437	7965	4004	4312	3242	3148	2260	5546	3586	2538	2289	4779	3317	6995	6876	3046	2892	3121	2526	1923	4279	3095	2001	4145	1851	1809	3492	1332	1310	4870	3594	2647	4632	3103	3766
ABC_transporter_oligopeptide_(TC_3.A.1.5.1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194808	173198	125960	102336	102351	58273	101229	113372	100769	102087	36441	105461	112169	111781	105858	118839	97625	106453	86628	106242	102168	128287	98148	85476	38588	99732	103259	39237	120277	95182	90584	72574	116381	55558	99913	36640	70331	56957	75949	35408	101202	50685	37334	34767	70261	67896	110786	40036	89842	89373	16537	60766	83778	16966	76613	56724	69085	53837	53492	58151	57665	38761	68322	39150	66743	55638	11991	61757	49395	60623	59344	0	10833	59230	40583	0	9820	42801	46145	37153	8799	8620	41654	40473	9490	23268	11209	9219	22499	47077	8124	44293	34039	34569	10354	43925	0	44251	10833	0
ABC_transporter_peptide_(TC_3.A.1.5.5)	0	0	0	8	207	0	603	0	0	0	0	0	0	2	0	193	0	0	0	0	1	0	0	0	0	0	0	0	573	0	0	579	49	0	0	55	0	0	0	0	0	0	304	0	0	0	0	34	0	0	21629	22122	18424	16674	14706	15405	15301	18980	12557	11420	7812	15865	19355	17455	15961	14102	15667	10944	18699	11897	16870	15760	9257	18448	9235	16920	9270	7345	7715	6893	14476	8939	7416	10292	6613	6974	6889	6636	6365	6560	11960	9361	6767	8159	7171	5127	10119	5919	6273	7979	9643	3442	9082	4986	8720	6175	5874	6577	6394	4865	4914	1721	2297	1733	2242	6658	9459	3832	3718	2049	2013	1736	4147	3465	3139	1824	3836	3302	8557	8439	3155	2924	3141	3128	1761	3411	2321	1714	3421	1638	3609	2265	3152	3202	3339	2254	2513	3095	2237	3082
ABC_transporter_tungstate_(TC_3.A.1.6.2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	614	0	0	0	0	1049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC-type_iron_transport_system	12	0	0	0	57	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2277	2175	2176	1697	1766	1822	1765	2156	1584	1758	1257	1869	2123	1776	1816	1578	1815	1633	2107	1370	1838	1914	1061	2058	1412	1829	1313	1614	1183	1070	1648	2013	1099	1618	1438	1377	1048	998	959	1254	1288	1455	1457	1285	1121	1215	1457	1221	984	934	2932	1114	1819	1616	1640	1337	1353	1747	1736	1231	1001	712	587	656	540	986	1984	965	1034	504	475	684	1325	849	1180	678	1188	779	1215	1169	888	838	813	1131	615	818	797	639	782	618	1254	603	836	884	996	591	1258	627	757	1167
Accessory_colonization_factor	0	0	0	0	0	0	706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	875	0	0	874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acetoin,_butanediol_metabolism"	28611	29991	25500	19740	28752	30319	29504	35305	27103	27710	19711	29046	25472	22796	26065	28119	25672	21177	25488	22040	25309	24820	20660	24772	33839	24657	20702	22072	25874	25827	18894	25914	26205	25902	29451	26357	19123	29696	27949	26481	31365	21498	24565	31338	20723	21109	17495	25811	19830	18232	120521	115807	69904	67413	78644	65143	60236	74399	69872	62800	62705	58664	62825	61241	59577	71076	65659	70685	60999	79074	59552	75252	72456	58693	53574	50324	68931	64313	79545	72095	69673	48588	75885	73876	70688	56104	51748	53643	53223	53862	65999	63419	59770	48584	53830	48919	72579	68615	56932	56904	67463	55273	52837	65163	48404	48365	48277	39198	39367	44882	38575	48439	48593	48186	47787	37044	42512	42569	39156	42542	41435	41807	38230	40447	46014	41983	35397	30847	27826	31724	31025	30455	35592	44866	41512	35077	47823	41360	34136	41440	35267	34538	31773	32308	37766	34728	32738	32822	41578	44243
Acetone_Butanol_Ethanol_Synthesis	38232	24995	39593	23921	27038	19582	30688	18655	20338	20553	23734	19088	30165	23624	26747	27056	26272	18302	22028	22610	21901	19044	29783	18126	15941	17832	25391	22160	31821	19502	33712	31863	26776	21937	17524	24882	33613	17468	21281	41585	22249	24832	41353	22065	21553	16021	29964	33615	16887	21738	63965	60094	50666	57064	61898	58714	58517	34117	52188	55146	68608	45044	28500	55040	44904	42265	37988	36459	42320	47519	40618	29980	53108	39675	52625	39891	46394	50237	48479	51410	35402	27696	46507	40910	31925	49159	52008	55163	58030	46747	34902	39548	46126	47011	45112	48234	28192	59745	44574	44013	58849	60431	17881	33461	16176	33200	32431	25775	25861	28229	24398	20354	17920	20382	17697	19181	11141	22439	14567	17015	16669	20551	26121	21255	23775	20244	23425	25460	28693	27706	22614	22519	20778	22520	20209	35303	23634	20168	34304	22425	26512	19992	13257	13676	18446	22886	25337	37403	23645	18647
Acetone_carboxylase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetophenone_carboxylase_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetyl-CoA_fermentation_to_Butyrate	33074	23311	42210	18012	24580	24568	26568	21202	20267	21260	22123	24242	25017	20679	21951	24004	21096	19921	27683	22335	20690	22756	24609	21188	19669	21059	24285	19472	23049	20343	24201	23105	24037	24238	22922	22207	24280	22564	21933	23988	19789	17246	32792	19643	21124	14358	21246	23573	19386	20096	27579	27556	28777	39933	47272	39685	39786	14762	32034	41370	49574	28789	9786	41150	28720	20751	18555	14884	27839	21772	24677	2777	32215	25727	35101	24128	21297	30224	16056	31627	17108	17853	16150	19065	8675	33208	42246	44689	41557	31754	10749	18888	27857	31024	29355	35207	1997	29967	22485	22132	37172	47317	4591	18622	4159	21327	20870	9187	8927	15711	13681	5451	2121	5467	2113	8753	2598	8802	2886	1299	1233	5114	14396	7827	11091	5100	12171	17775	16827	15966	13203	13348	13316	9300	3822	19991	11171	3753	20349	8524	16655	7953	2503	2400	10781	11047	18671	26952	11498	5363
Acid_resistance_mechanisms	23640	26123	24391	23039	20460	20715	18771	18127	24604	19729	19278	19918	20413	21111	17611	19296	17655	21361	21972	19662	23021	19955	19332	18908	17328	18701	19443	20726	17448	19009	18242	17239	16613	18683	21040	16628	18137	21412	18245	19736	16413	20169	16853	16389	18562	20063	20253	23584	17958	17658	19281	21088	10076	11663	13387	9692	11842	10740	9508	13516	13384	9109	10031	11768	9284	12181	10071	12161	7601	8855	9790	6261	12803	6373	11394	9874	8679	14049	7568	12744	9277	13170	7372	8315	8230	12436	11642	11942	10176	11912	6498	8108	13322	10302	13444	13502	4397	10952	9250	9376	16602	26643	4527	11458	4286	7719	7679	3845	4037	12916	3632	10658	5212	11020	4910	4580	11270	6099	8971	8527	8438	10564	7482	5745	7670	10663	6864	11341	2934	2759	10058	6596	11391	7581	3541	7158	11448	3365	7163	6632	11706	3283	4304	4582	9719	3370	16646	10270	11254	8376
A_conserved_operon_linked_to_TyrR_and_possibly_involved_in_virulence	0	11	0	0	130	4	243	0	5	0	3	0	30	0	0	83	15	13	6	0	0	0	39	0	0	0	79	0	292	0	0	283	0	0	0	29	0	0	9	0	0	14	246	0	0	1	0	0	0	4	7904	12357	10139	8980	8034	8626	5205	9831	7205	4904	5537	8991	10146	9243	9103	7366	5371	7459	6721	6533	9292	8755	5044	9991	6235	9196	6596	7111	5562	4864	8006	6101	5277	4828	4263	4128	4544	4825	4524	6161	6638	4329	4137	5632	4736	3177	7263	4065	4392	4296	5102	1680	9165	4573	8247	5646	3675	3791	3859	2947	4900	1656	2121	1601	2041	4830	3827	3570	3331	1848	1795	1751	2376	2103	2868	1549	2184	1586	2529	3989	1551	1450	1636	1796	920	2081	1973	1046	2211	1503	1986	1254	1871	1927	3043	1243	1165	1644	2025	1650
Acyclic_terpenes_utilization	0	0	0	0	0	0	0	0	0	0	23	0	0	0	16	0	27	0	0	0	0	0	0	12	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	15	0	0	22	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acyl-CoA_thioesterase_II	386	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	162	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	4591	4899	4803	4176	4102	4156	4487	3815	4309	2746	4385	4669	4273	4543	3416	4265	3330	4426	3343	4046	0	2496	4369	3083	4221	0	3514	0	2416	3866	4297	0	0	0	0	2268	2230	2428	0	2969	0	3456	2862	0	2695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1295	2582	2473	0	0	1176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1095	0	0
Acyl_Homoserine_Lactone_(AHL)_Autoinducer_Quorum_Sensing_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adaptation_to_d-cysteine	0	0	0	0	0	0	158	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
